Número de serie,Escuela o facultad:,Edad:,Sexo:,Tiene tutor,"1.	¿Conoces las actividades de tutoría que se desarrollan en tu Escuela o Facultad?","2.	¿Consideras que en tu Escuela o Facultad es necesaria la tutoría?","3.	¿Consideras que en tu Escuela o Facultad la tutoría funciona?",Sugerencias
70,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,Sí,"A mí parecer no creo que haya algo por mejorar, simplemente recomiendo que se dé más a conocer entre alumnos y se informe más sobre el tema
"
71,Facultad de Ingeniería,20,Masculino,B,Sí,Sí,No,.
78,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,. 
80,FES Aragón,23,Femenino,B,Sí,Sí,Sí,"El tener un tutor facilita un poco más el apoyo, ya que en ocasiones no hay tanto apoyo por parte de jefatura."
82,Facultad de Economía,24,Femenino,B,No,Sí,Sí,.
83,FES Cuautitlán,20,Masculino,B,Sí,Sí,Sí,Todo muy bien 
84,Facultad e Contaduría y Administración,19,Femenino,B,Sí,Sí,Sí,"Me parece que la tutoría esta más que bien por el momento, es muy eficiente."
85,Facultad de Ingeniería,19,Femenino,B,Sí,Sí,Sí,Que en línea hagan más actividades para conocer la escuela
86,FES Aragón,22,Femenino,B,Sí,Sí,Sí,Me gusta que halla tutorías ya que es más fácil enterarse de los servicios o trámites que se deben hacer en la facultad 
89,Facultad de Ingeniería,18,Masculino,B,Sí,Sí,Sí,"Ninguna, todo bien "
90,FES Zaragoza,21,Femenino,B,No,Sí,Sí,Ninguna
92,FES Zaragoza,21,Masculino,B,No,Sí,No,"Qué se contacten con nosotros , este año no se quien es mi tutor , el año pasado si me sirvió mi tutor "
93,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,Quizá que amplíen un poco ma ala explicación de los como se maneja la forma de evaluar
94,FES Cuautitlán,18,Masculino,B,Sí,Sí,Sí,1
96,FES Aragón,24,Femenino,B,Sí,Sí,Sí,"Elegir a buenos profesores para la tutoría, que tengas buenas referencias."
99,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,Sí,"Todo bien.
"
100,Facultad de Medicina,21,Masculino,B,Sí,Sí,Sí,Ninguna sugerencia
101,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,No,No tengo sugerencias 
104,Facultad de Ingeniería,19,Femenino,B,No,Sí,Sí,. 
110,FES Aragón,21,Femenino,B,Sí,Sí,No,"Los tutores, son apoyo para los estudiantes, estaría mejor que se apoyará mas las peticiones de los alumnos y que los tutores resolvieran mejor los problemas "
112,Facultad de Ingeniería,23,Femenino,B,Sí,Sí,Sí,Por el momento todo muy bien y estoy muy satisfecho con la tutoría 
114,Facultad de Ingeniería,21,Masculino,B,Sí,Sí,Sí,"Me gustaría que se diera más seguimiento en la tutoría ya que solo se asigna un semestre, por ejemplo que después de ese semestre se tuviera qur acordar un día al mes o cada dos meses para tener una pequeña reunión con el tutor "
115,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,No,No tengo ninguna sugerencia
126,CDMX,18,Masculino,B,Sí,Sí,Sí,"En la escuela nacional preparatoria el tema relacionado con las tutorías esta bastante bien desarrollado, además que es de mucha ayu"
127,Facultad e Contaduría y Administración,21,Masculino,B,No,Sí,Sí,Todo está bien 👍🏻 
130,"ENP 4 ""Vidal Castañeda y Nájera""",18,Femenino,B,Sí,Sí,Sí,Solo me gustaría que se promoviera más el programa de tutoría en mi escuela. 
132,Escuela Nacional Preparatoria,17,Masculino,B,Sí,Sí,Sí,"No tengo sugerencias, son muy buenas las tutorias"
133,Facultad de Odontología,18,Masculino,B,Sí,Sí,Sí,"Deberían de explicar más a fondo que es lo que es 
o debe de haber la tutoría."
137,FES Cuautitlán,18,Masculino,B,Sí,Sí,Sí,Ninguna 
138,FES Aragón,20,Femenino,B,Sí,No,No,.
140,Facultad de Economía,18,Masculino,B,Sí,Sí,Sí,Poner más horarios para compartir con los tutores.
141,FES Aragón,22,Femenino,B,No,Sí,No,Hacer de conocimiento quienes son los tutores para que puedan brindar información 
142,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,"Sinceramente que si hay algún problema con algún profesor , nuestro tutor nos apoye haciendo el contacto con el profesor "
144,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,No,Más difusión y más cercanía para con los estudiantes
148,Escuela Nacional de Enfermería y Obstetricia,20,Femenino,B,Sí,Sí,Sí,Que los tutores se comprometan más
150,Facultad de Ingeniería,21,Masculino,B,No,Sí,Sí, 
153,FES Aragón,20,Masculino,B,Sí,Sí,Sí,"Me gusta como lo hizo mi tutora en primer semestre, creo que ya es cuestión de cada profesor o profesora. 
"
154,Facultad de Economía,19,Femenino,B,Sí,Sí,Sí,Todo bien (: 
156,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,#¿NOMBRE?
157,Facultad de Filosofía y Letras,18,Masculino,B,No,Sí,Sí,"Tratar de tener un poco mas de comunicación
 sobre la tutoria"
158,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,No tengo ninguna sugerencia 
161,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,No tengo ningún inconveniente 
166,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,Ninguna 
167,Prepa 7 ezequiel  chavez ,15,Masculino,B,Sí,No,Sí,"Puede ser que la tutoria funcione pero creeo que es más como una carga
"
168,FES Aragón,20,Femenino,B,Sí,Sí,Sí,Ninguna sugerencia 
170,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,No,Capacitare mejor a los tutores 
172,FES Cuautitlán,20,Masculino,B,Sí,Sí,Sí,Poner un poco mas de dedicación a las tutorias 
173,ENES León,19,Masculino,B,No,Sí,No,No
175,Facultad de Ingeniería,19,Masculino,B,Sí,Sí,Sí,Ninguna
177,FES Aragón,21,Femenino,B,Sí,Sí,No,"No he tenido tutores en todos los semestres o no nos lo han dado a conocer, los que he tenido han desarrollado bien su trabajo. "
182,Facultad de Música,19,Masculino,B,Sí,Sí,Sí,Implementar  un programa más extenso
183,Facultad de Ingeniería,19,Femenino,B,Sí,Sí,Sí,"Yo sugiero o considero que es buena opción que el tutor nos mantenga al tanto de cualquier actividad mediante el correo electrónico, así como de becas o campañas escolares, ya que esto sólo se llevó así en el primer semestre, pero me gustaría que fuera así durante toda la carrera, de ser posible, de mi parte sí he contactado a mi tutor varias veces para asesoría respecto a la elección de profesores y me sirvió mucho."
184,FES Iztacala,34,Masculino,B,Sí,Sí,Sí,Es importante la difusión de las tutorias porque hay muchos compañeros que lo desconocen
186,Escuiela Nacional de Trabajo Social,26,Masculino,B,Sí,Sí,Sí,"Que se haga más difusión de estas tutorías mediante el uso de infografias ( físicas y digitales ) , ya que entre los alumnos se pasa la voz y quedan compañeros sin enterarse a tiempo "
188,Escuela Nacional Preparatoria,16,Masculino,B,No,No,No,Ninguna 
189,FES Zaragoza,21,Masculino,B,Sí,Sí,Sí,.
190,ENES Morelia,22,Masculino,B,No,Sí,No,Tutores que no sean los mismos profes de la licenciatura
195,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,Que las secciones de tutoría fueran más constantes y aún más en los primeros semestres.
197,"Escuela Nacional Preparatoria no. 8 ""Miguel E. Schulz""",17,Femenino,B,Sí,Sí,Sí,"Creo que he tenido una excelente experiencia, así que sólo puedo comentar que está perfecto el programa y que espero se mantenga de esa manera.(:"
198,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,No,ninguna
201,FES Cuautitlán,19,Masculino,B,No,Sí,Sí,"Que se nos informe quien es nuestro tutor, en ocasiones no nos indican quien es, y por ende no existe comunicación con el tutor"
205,Facultad de Ingeniería,22,Masculino,B,Sí,Sí,Sí,Tener sesiones semestrales de tutoría después del primer semestre.
207,Facultad e Contaduría y Administración,18,Femenino,B,No,Sí,No,Deberían de capacitar a los profesores para ser tutores. 
209,Escuela Nacional Preparatoria,18,Masculino,B,Sí,Sí,Sí, 
211,FES Zaragoza,19,Masculino,B,Sí,No,Sí,No
214,Facultad de Psicología,22,Femenino,B,Sí,Sí,Sí,"Hasta el momento me encuentro bastante cómoda con mi tutora, aunque se me ha dificultado acordar las sesiones de tutoría últimamente por problemas familiares "
215,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,No tengo ninguna sugerencia!
217,Facultad de Economía,18,Masculino,B,Sí,Sí,Sí,".
"
219,"Facultad de Medicina, Veterinaria y Zootecnia",21,Femenino,B,Sí,Sí,Sí,Más reuniones con los tutores.
223,FES Cuautitlán,19,Masculino,B,Sí,Sí,No,Deberian darle un mejor trato al alumno wtf ni avisan quien es el tutor ya como a medio semestre nos avisaron XD
224,FES Zaragoza,20,Masculino,B,Sí,Sí,Sí,Ninguna
225,FES Aragón,23,Masculino,B,No,Sí,No,No
228,FES Cuautitlán,18,Femenino,B,Sí,Sí,Sí,No tengo sugerencias 
230,FES Cuautitlán,19,Masculino,B,No,Sí,Sí,Sin sugerencias.
231,Escuela Nacional Preparatoria,17,Masculino,B,Sí,Sí,Sí,Ninguna
233,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,"Que haya como una hora especial solo para tutoría
"
236,Facultad de Filosofía y Letras,18,Femenino,B,No,Sí,Sí,Se necsita explicar un poco más de qué trata la tutoría y que beneficios podemos encontrar
237,FES Iztacala,22,Femenino,B,No,Sí,Sí,No
238,Facultad de Filosofía y Letras,21,Femenino,B,Sí,Sí,Sí,Que se le dedique un horario fijo a la semana.
239,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,No,Se debería instruir mejor a los tutores ya que hay veces en las cuales no saben que hacer
240,Facultad de Ingeniería,19,Femenino,B,No,Sí,Sí,"Conozco a mi tutora pero la honestamente casi nunca le he solicitado ayuda; sin embargo las veces que lo he hecho, me ha respondido con la información necesaria. "
243,FES Cuautitlán,21,Masculino,B,Sí,Sí,Sí,No
245,FES Aragón,20,Femenino,B,Sí,Sí,Sí,Solo que den más sesiones en tutorías acerca de la salud mental 
247,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,"Solamente que se tenga un momento en el que los alumnos hablemos con nuestro tutor
"
249,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,"Que se dé una introducción más amplia para conocer que es el programa de tutoría, sus aportes, como pueden apoyarnos u orientarnos."
256,FES Zaragoza,25,Femenino,B,Sí,Sí,Sí,Programar horarios específicos 
258,Facultad de Ingeniería,22,Femenino,B,No,Sí,No,Debería haber más información al respecto sobre los ámbitos en loz que puede apoyarme mi tutor(a) porque es fácil olvidar que tenemos ese apoyo.
259,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,No,"Dar pláticas sobre que es lo que ofrece la tutoría, 
como funciona, etc."
260,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,Sí,No hay ninguna sugerencia
261,Facultad de Economía,18,Masculino,B,No,Sí,Sí,Mi tutor fue el profesor brid y en verdad nos ayudo mucho para el tema academico 
269,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,mejor preparación por parte de los maestros así como respeto 
270,Facultad de Ingeniería,20,Masculino,B,Sí,Sí,Sí,Ninguna 
271,Escuela Nacional de Enfermería y Obstetricia,25,Masculino,B,Sí,Sí,Sí,"Optar por Tutorias que incluyan amenidades para su mejor 
aprovechamiento"
272,Facultad de Filosofía y Letras,21,Femenino,B,No,Sí,Sí,"Que se den sesiones con toda la información necesaria, para que los alumnos puedan aprovechar todas las oportunidades que ofrece la UNAM.
"
274,FES Aragón,20,Femenino,B,Sí,No,No,"Honestamente no ha sido de mucha ayuda las pláticas o el tiempo que se resta de clase para dar la tutoría, pero lo que sí me ha ayudado es que el tutor nos avise de cosas importantes de la escuela de las que a veces no estoy enterada, así que tal cual la tutoría no creo sea muy útil, pero sí me gusta que alguien nos avise o nos recuerde de ciertas cosas."
275,ENES León,19,Femenino,B,Sí,Sí,Sí,Dar más información al respecto. 
276,Facultad e Contaduría y Administración,34,Masculino,B,Sí,Sí,Sí,Que conozcan mejor las fechas de entrega de los trabajos y los calendarios de exámenes
277,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,No tengo ninguna
278,Facultad e Contaduría y Administración,30,Masculino,B,Sí,Sí,Sí,"A quienes, específicamente en modalidades abierta y a distancia, no hubiesen podido participar en las tutorías, que se les brindará una segunda oportunidad o acceso a las grabaciones de las tutorías."
279,Escuiela Nacional de Trabajo Social,22,Femenino,B,Sí,Sí,Sí,"Me parece que todo funciona bien, la atención es precisa y de forma inmediata"
280,Facultad de Ingeniería,20,Masculino,B,Sí,Sí,Sí,mejor atencion
281,Facultad e Contaduría y Administración,29,Femenino,B,Sí,Sí,Sí,Ninguna
282,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"En lo personal considero que la tutoría se encuentra bien, quizá solo darle un poco más de tiempo. "
283,FES Zaragoza,23,Masculino,B,Sí,Sí,Sí,Ninguna
284,Escuela Nacional Preparatoria,16,Masculino,B,No,No,Sí,Que haya más información
287,Facultad e Contaduría y Administración,19,Masculino,B,Sí,Sí,Sí,"Para la difusión de información importante, los tutores pueden tener comunicación directa con el ""jefe de grupo"", pues es de mucha ayuda y rápida comunicación con el grupo."
288,Facultad de Artes y Diseño,19,Femenino,B,Sí,Sí,Sí,"Hacer difusión de las tutorías que se imparte
"
290,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,Mayor información sobre la tutoría 
292,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,No,Platicas por parte del tutor
297,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,"No se me ocurre nada, estoy satisfecha."
302,ENES León,20,Femenino,B,No,Sí,Sí,M e gustaría que la tutoría fuera mas personal respecto al rendimiento y resultados académicos y que lleven un seguimiento y estén al pendiente del rendimiento en los alumnos con algunos profesores
304,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,.
307,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,"Me gustaría que dieran más difusión a las actividades de tutoría de la facultad, muchas gracias."
308,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,Sí,No tengo nada que decir 🤙
311,Facultad de Ingeniería,21,Masculino,B,No,Sí,No,"ddespués de los primeros semestres mi tutor me dejó de contestar los mensajes, sin embargo, creo que si fue útil la información proporcionada en el primer semestre "
313,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,"Lo único que podría mejorar sobre las tutorías seria que los tutores dieran fechas para realizar tramites, adelanto de materias, cursos de la facultad, etc. Ya que en mi opinión seria mas útil y aumentaría el valor de las tutorías. "
314,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,"Quiza se podría aplicar un temario o temas obligatorios 
"
317,Facultad de Ingeniería,22,Masculino,B,No,Sí,Sí,Creo que ninguna por el momento
318,Facultad de Ciencias Políticas y Sociales,18,Femenino,B,Sí,Sí,Sí,Esta bien que siga el programa de tutorías. 
320,FES Cuautitlán,20,Femenino,B,Sí,Sí,Sí,que las clases.de.tutoria duren por lo menos 1 hora
325,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,Todo esta bien por el momento.
327,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,"En mi caso sugiero que los tutores estén mas al pendiente de sus alumnos porque sin duda ellos hacen una labor muy importante, sin embargo algunos no tienen comunicación con nosotros y pues no recibimos esa atención y mucho menos resolución a dudas."
329,FES Aragón,21,Masculino,B,Sí,Sí,No,"Pues deberían de ser los programas más accesibles, había semestres que no daban ninguna tutoría "
330,Escuela Nacional Preparatoria,18,Masculino,B,No,Sí,Sí,Que los profesores le den un más importancia a la tutoria. 
331,FES Cuautitlán,18,Femenino,B,Sí,Sí,Sí,Hasta el momento ha sido satisfactorio y muy completo todo el apoyo recibido por parte del área de tutoría 
333,FES Zaragoza,18,Femenino,B,Sí,Sí,No,"Considero que los tutores deberían de tener algunos cursos de capacitación para el manejo de dicha tutoría, es necesaria y de apoyo; pero, falta trabajar más para que se cumplan todos los objetivos de contar con un programa de turorías. "
335,Facultad de Filosofía y Letras,18,Masculino,B,Sí,Sí,Sí,"Las tutorías son muy importantes, debe de haber más información acerca de este servicio y el como funciona"
336,Facultad de Filosofía y Letras,21,Masculino,B,Sí,Sí,Sí,No
339,Escuela Nacional Preparatoria,18,Masculino,B,No,Sí,No,Mayor dedicación y empeño 
341,Escuela Nacional Preparatoria,18,Femenino,B,Sí,Sí,Sí,"No,no tengo ninguna"
343,"Facultad de Medicina, Veterinaria y Zootecnia",19,Femenino,B,Sí,Sí,Sí,"Me agradó bastante este programa, funciona perfectamente"
346,ENES León,19,Femenino,B,Sí,Sí,Sí,"No tengo ninguna sugerencia, hasta ahora la tutoría ha funcionado adecuadamente."
348,Escuela Nacional Preparatoria,19,Masculino,B,Sí,Sí,Sí,"Me parece que el trato y apoyo de mi tutor es excelente
"
349,FES Zaragoza,16,Masculino,B,No,Sí,Sí,Ninguna
350,FES Acatlán,18,Masculino,B,Sí,Sí,Sí,"Que el tutor se prepare más, y que se de más información respecto al inicio de a qué van dirijidas las tutorías (su objetivo)"
351,Facultad de Ingeniería,22,Masculino,B,No,Sí,No,Despues de prier semestre se pierde el contacto
353,Facultad e Contaduría y Administración,18,Masculino,B,No,Sí,No,Que los tutores se preparen para dar tutoria
355,Facultad de Ingeniería,22,Femenino,B,Sí,Sí,No,Nada
356,Escuela Nacional Preparatoria,15,Femenino,B,No,No,Sí,.
358,Escuiela Nacional de Trabajo Social,32,Femenino,B,Sí,Sí,Sí,.
363,FES Cuautitlán,23,Femenino,B,No,Sí,No,"He respondido esta encuesta tomando en cuenta una sola ayuda de tutoria, que fue hace un año en quinto semestre. Sugiero que desde un principio se presente el tutor ya sea por mensaje en plataforma o correo anexando el grupo al que se le asignó, puesto que en esa única ocasión tuve que mandar correo a coordinación y me tardaron en responder, se entiende pues tienen cosas más importantes que hacer, o ir personalmente con cada alumno y presentarse por mensaje, gracias."
368,FES Aragón,33,Masculino,B,No,Sí,Sí,"La última pregunta no sé si es correcta, esto a que no he tenido el acercamiento con otros tutores."
370,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,Ninguna
372,Escuela Nacional de Enfermería y Obstetricia,20,Masculino,B,Sí,Sí,Sí,"Ninguna sugerencia, todo bien"
373,Facultad de Filosofía y Letras,22,Femenino,B,No,Sí,Sí, 
374,Facultad de Ingeniería,22,Femenino,B,No,Sí,Sí,Gracias por otorgarnos un tutor
378,FES Cuautitlán,22,Femenino,B,No,Sí,Sí,A veces las tutorías son muy breves y no les es posible atender a todos los compañeros 
385,Facultad de Ingeniería,21,Masculino,B,Sí,Sí,No,"Sin sugerencias. 
Respecto a la pregunta 10 no sé si funcione la tutoría en mi facultad. Varios han platicado con sus tutores, en mi caso como el de muchos otros no hemos hablado después del primer semestre. "
386,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,Mayor apoyo con problemas en otras materias
387,Facultad de Ciencias Políticas y Sociales,20,Masculino,B,No,Sí,No,Ninguna
388,"Facultad de Medicina, Veterinaria y Zootecnia",18,Femenino,B,Sí,Sí,Sí,Las tutorias sirven para poder informarte un poco mejor de cómo poder adaptarte a esta nueva etapa pero no considero que sea algo fundamental o como requerimiento para la licenciatura.
389,FES Cuautitlán,20,Femenino,B,Sí,Sí,Sí,Realizar activades más dinámicas para algunos temas de desarrollo personal y mencionar más los temas de servicio social y opciones de movilidad internacional
392,Facultad de Odontología,18,Femenino,B,Sí,Sí,Sí,"Solo me gustaría que fueran mas cortos los tiempos de consulta fueran mas cortos
"
394,Facultad de Ingeniería,20,Masculino,B,Sí,No,No,"Que el tutor haga seguimiento, al no veo al mío desde primer semestre."
395,Facultad e Contaduría y Administración,42,Masculino,B,Sí,Sí,Sí,Todo muy eficiente y completo.
397,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,Siento que el programa de tutoría de mi escuela es muy buena.
398,FES Zaragoza,21,Femenino,B,Sí,Sí,No,"Los profesores se pongan en contacto contigo, porque realmente son muy pocas las personas que saben de la existencia de las tutorías, se necesita más información de las tutorías."
401,ENES León,18,Femenino,B,Sí,Sí,Sí,La verdad la tutorías que mis compañeros y yo tuvimos fueron muy buenas y nos la impartió un alumno de mayor grado 
404,Escuela Nacional Preparatoria Antonio Caso,17,Femenino,B,Sí,Sí,No,Hacer más promoción a estos programas.
407,Facultad e Contaduría y Administración,20,Femenino,B,Sí,Sí,Sí,Tener contacto más frencuente con los tutores.
418,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,"Dar mayor disposición de tiempo, debido a que las ocasiones pasadas termina la sesión en una hora, pero quedan dudas y mucho que comentar durante la sesion"
422,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,No,La verdad no se me ocurre nada.
423,Facultad de Economía,19,Masculino,B,Sí,Sí,Sí,Mejorar la comunicación entre tutores y maestros.
425,Facultad de Economía,24,Masculino,B,Sí,Sí,Sí,Que las sesiones de tutoría sean más seguido y que incorporen muchas más temas a tratar.
428,Facultad de Ingeniería,20,Masculino,B,Sí,No,No,"Pues diria que la materia de tutotria fuera algo mas enfocado al metodo de aprendizaje que tienen sus alumnos, en vez de solo una fuente de informacion de las actividades que se realizan en la facultad, porque eso ya lo podemos ver en la pagina de ingenieria."
429,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,".|.


:-- ',','"
430,Escuiela Nacional de Trabajo Social,50,Femenino,B,Sí,Sí,Sí,"Esta actividad, dada su importancia, debería contar co  un espacio y horario para poder tomarla.
"
435,FES Zaragoza,19,Femenino,B,No,Sí,Sí,Dar una mayor atención de tutoría
439,Facultad e Contaduría y Administración,18,Masculino,B,No,Sí,No,Que el tutor este al pendiente del grupo y no se desaparezcan
441,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,No,"Que el tutor de clases, ya que en mi caso ni nos da clase "
442,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,"No tengo ninguna sugerencia,todo me parece bien"
443,Facultad de Derecho,23,Femenino,B,Sí,Sí,Sí,——
447,Facultad de Psicología,21,Femenino,B,Sí,Sí,Sí,"No tengo alguna sugerencia, por el momento"
450,Facultad de Ingeniería,22,Masculino,B,Sí,Sí,Sí,Que la tutoría sea de cierta forma obligatoria por respeto al tiempo de los tutores.
456,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,No,Ninguna sugerencia.
459,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,Qué los tutores tengan más comunicación con dirección escolar para hacerlas rápido cualquier proceso.
461,Facultad de Ingeniería,19,Masculino,B,Sí,Sí,Sí,"me parece que la tutoría esta bien así como está, estos meses no han sido muy fáciles en sí, y sin duda la tutoría me ayudó a poder centrarme en la escuela y a que cosas des debía de dar prioridad "
466,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Que pudiera ser obligatorio un cierto tiempo y espacio para hablar sobre asuntos de tutoría 
470,Escuela Nacional Preparatoria,18,Femenino,B,No,Sí,No,"Es necesaria la cooperación entre tutor y alumno para tener un mayor rendimiento académico y un mejor aprendizaje,por lo cual es recomendable ña capacitación del tutor y una mayor organización del tiempo, de forma tal que el estrés no este presente en el momento de la tutoría. "
471,Facultad de Odontología,19,Femenino,B,Sí,Sí,Sí,Ninguna
487,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,Sí,En lo personal no tengo sugerencias ya que considero que el trato y la atención de la tutora es excelente.
489,Facultad de Ingeniería,20,Masculino,B,No,Sí,No,.
491,Facultad e Contaduría y Administración,22,Femenino,B,Sí,Sí,Sí,Que sean constantes
492,Facultad de Música,30,Femenino,B,Sí,Sí,Sí,"Por ahora ninguna, la pandemia dificulta mucho las cosas y no pude tener una relación directa con mi tutor, sin embargo, el programa funcionó a pesar de la distancia, el mal internet y el ajuste de horarios. "
494,Facultad e Contaduría y Administración,19,Masculino,B,Sí,Sí,Sí,"Ningúna, la verdad todo a Sido perfecto"
496,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,Que hagan varias consultas para saber como están los almos con los alumnos respecto a las clases
